 added: 3756 removed: 199 net: 3557
darzafrui added: 0 removed: 64 net: -64
darzafrui added: 5971 removed: 3207 net: 2764
darzafrui added: 0 removed: 1 net: -1
darzafrui added: 438 removed: 7 net: 431
darzafrui added: 21 removed: 0 net: 21
darzafrui added: 85 removed: 3 net: 82
darzafrui added: 802 removed: 609 net: 193
darzafrui added: 2822 removed: 587 net: 2235
darzafrui added: 26553 removed: 215 net: 26338
